Date,Open,High,Low,Close,Adj Close,Volume
2015-11-25,235.692307,235.769226,233.076920,233.538467,208.883286,7040761
2015-11-27,232.846161,233.692307,232.230774,233.538467,208.883286,4308707
2015-11-30,233.307693,234.230774,230.307693,230.307693,205.993576,10363158
2015-12-01,230.692307,232.692307,229.769226,232.076920,207.576035,7051837
2015-12-02,231.461533,232.538467,229.846161,230.538467,206.199982,5736068
2015-12-03,231.461533,232.692307,230.538467,231.000000,206.612808,8186087
2015-12-04,231.307693,234.769226,230.461533,234.538467,209.777725,7566416
2015-12-07,234.000000,234.153839,231.692307,233.615387,208.952072,8668569
2015-12-08,231.307693,233.692307,230.076920,232.230774,207.713638,6924515
2015-12-09,230.923080,235.307693,230.461533,234.384613,209.640091,6572852
2015-12-10,234.153839,237.923080,233.615387,235.769226,210.878540,6120725
2015-12-11,233.230774,235.461533,231.923080,232.769226,208.195236,8178001
2015-12-14,232.769226,234.307693,229.000000,232.769226,208.195236,8457709
2015-12-15,233.846161,235.461533,232.461533,233.230774,208.608078,7714928
